,filename,anumber
397,a078068_annual report_2007_ironx_15730145.json,78068
398,a103610_surr_report_p57_1305_07-09_20140917.json,103610
399,a089683_verification_list_p52_1228 2010 to 2011 final report_15704838.json,89683
400,a077724_combined annual report c5_2003 lake carey 032008_15470706.json,77724
401,a086043_e80_3883_2010s_17103274.json,86043
402,a080324_p28.1017 2008 text_12364909.json,80324
403,a098436_lomos_e70_3716_2013p_16197116.json,98436
404,a105796_a105796_v2_report.json,105796
405,a073926_yilgarrie_2006 relinq_report-1700_13798747.json,73926
406,a095506_unlock-e09_1888_2012s_11740059.json,95506
407,a108318_a108318_v1_report.json,108318
408,a092399_e28_1561_2011s_14449574.json,92399
409,a108876_attachmentb_e45_4277 tectonics map.json,108876
410,a074888_e69_2610_2006a_11058749.json,74888
411,a093584_barlee_south_e30_395_2012s_11890240.json,93584
412,a087909_e692476_2010_s_01_reportbody.final_12677596.json,87909
413,a084952_ives find annual report_12077242.json,84952
414,a100087_4089annual report11_10836311.json,100087
415,a085961_annual report 2009_12232795.json,85961
416,a081297_cc_2008 pr_verification listing form_10362552.json,81297
417,a084589_mt angelo_m80_247_2009a_11740730.json,84589
418,a088646_c589_1994_2010a_final_16726430.json,88646
419,a087731_picnic2010annualreport_12121695.json,87731
420,a085941_c74_2004_2009a_10890700.json,85941
421,a077415_plumridge combined report 2007_16727369.json,77415
422,a093812_c187_2010_2012a_11126454.json,93812
423,a107657_annual technical report yr 5 6_1_16.json,107657
424,a102248_e704167_2014s_16540468.json,102248
425,a108658_figure 1.json,108658
426,a095684_c107_2010_2012a_16585113.json,95684
427,a074223_figure 1_9743945.json,74223
428,a089710_e70-2762 surrender report 2010_14214291.json,89710
429,a099910_c_198_2008_2013ps_16492842.json,99910
430,a093338_e46_785_2012a.pdf_8744634.json,93338
431,a081752_anrep2008eraheedy2103_15107355.json,81752
432,a106707_attachmentd_surfacegeology_c324_2011_2015s.json,106707
433,a075210_buck_a_ el12_1_2007_11292066.json,75210
434,a093422_2012 04 10 black cat 2011 annual report_14746293.json,93422
435,a080379_e80_2574_08atr_12876104.json,80379
436,a084512_rbb_2009_e5101206_12945465.json,84512
437,a072786_carlow castle 2005a c453-1996_14242581.json,72786
438,a073040_verification table cr06_17299748.json,73040
439,a084319_ml_2009s_10945669.json,84319
440,a077743_tz_p37_5650_report_2008a_11676018.json,77743
441,a087025_uranex nl thatcher soak project combined annual report to 30th april 2010_12930635.json,87025
442,a091550_e590987_2011fs_20111011_15913839.json,91550
443,a101598_ege eis dag2013-00188983 drilling report 2013-14 el09-2015_11785714.json,101598
444,a103408_e69_2963_2014a.json,103408
445,a103284_annual report_2014_e46_945_8369571.json,103284
446,a080351_e631042_doir submitted_2007_2008_17608203.json,80351
447,a086742_p25_1837_2010ps_12070193.json,86742
448,a090317_2011 annual exploration report for e09-1656 mt narryar_verification_10368003.json,90317
449,a079911_el52-1723 peak hill_a_2008_verification_listing_9649367.json,79911
450,a091394_c81_2003_2011a_15917284.json,91394
451,a104717_a104717_p587_ sampling ab62_hy2_abra.json,104717
452,a084687_e47_1489_2009a_10521108.json,84687
453,a087438_e27_314_2010a_12403504.json,87438
454,a073511_annual report  e74.316  (2006)_16038577.json,73511
455,a084212_annual report e59_853_2009a_11572819.json,84212
456,a080293_e39-1229 annual nov08-2_11745851.json,80293
457,a081897_e31-636_figure_2_11814899.json,81897
458,a082532_cl_ 2008a_15366624.json,82532
459,a081300_appendice1_annual enviromental report2009_8713642.json,81300
460,a086178_whmp_m700420_2009a_15685838.json,86178
461,a109908_attachmentc_e46_1006 regional geology map.json,109908
462,a077427_appendix2_apex minerals geological legend_17491913.json,77427
463,a081040_berringarra annual report 2009_11747811.json,81040
464,a103280_e63-1113-1268_2013_a_ 05_file_verification_listing_9884685.json,103280
465,a101351_dmp e804006_prr2013_hermes_15961349.json,101351
466,a108440_10-100-go-ann-0040 final surrender report p59_1858.json,108440
467,a079073_c23_2001_a04_2008_9380075.json,79073
468,a102137_annual report 2014 e47_2396_12672642.json,102137
469,a095344_surrender report for e09_1807  102012_10900854.json,95344
470,a079502_p53_1301_2008a_12467493.json,79502
471,a094557_verification listing 20120813 e77-1646_14514090.json,94557
472,a075312_yarra exploration index map_17808168.json,75312
473,a089603_2011.03.16 - halls creek project 80-4048_annual report2010_15212176.json,89603
474,a072610_daltons e45-2186 & 2187 annual tech rep to mar 06_14636203.json,72610
475,a078078_bb_a_el702752_2008_11616028.json,78078
476,a076641_cspr_200_16071816.json,76641
477,a096224_gg_dag2012_00033149_e51_1053_eis_12602833.json,96224
478,a073389_mount_annual_report_2005_2006_part1_body_only_15008358.json,73389
479,a097041_verification lisiting final report_p77_3927_16314369.json,97041
480,a078069_dg_2008a_9485260.json,78069
481,a079848_ridley resources oscar range project annual technical report_17073649.json,79848
482,a091910_gswa_2011_c54_2011_verification_report_16065892.json,91910
483,a090883_wm_hp_annual rep2011_15273416.json,90883
484,a085349_m24_690_2009s_9605952.json,85349
485,a072009_ems833_2006s_17021086.json,72009
486,a104519_cw_59-1639_2015f.json,104519
487,a084558_e80_3371_hc2009a_11315862.json,84558
488,a102030_ryansville atr report 2013_14_final_12486299.json,102030
489,a086622_wd_ 2009a_15672328.json,86622
490,a086099_2010.03.16 - 28674 karri1 annual report v_15205493.json,86099
491,a098744_e25431_atr_2013_11833844.json,98744
492,a107139_app01_geoeyeorthophotospecs.pdf.json,107139
493,a086411_cf_e703266_2009a_9336288.json,86411
494,a073749_c149_2005_2006a_14915540.json,73749
495,a087532_da2009_117_eis final report_11292256.json,87532
496,a096150_e47-1758_2012a_14273907.json,96150
497,a094784_caz_golden ridge_p26_3731_2012an_12511044.json,94784
498,a096265_atr_e08_2140_2012_verify_12527862.json,96265
499,a081515_p26_3496_2008a_15181929.json,81515
500,a107643_borg north_eis_2015_verification.json,107643
501,a104927_final surrender e58_359.json,104927
502,a077396_va_c208_2006_2008a_16821367.json,77396
