group,path,filename,a_number
2,data/wamex_xml/a081300_appendice1_annual enviromental report2009_8713642.json,a081300_appendice1_annual enviromental report2009_8713642.json,81300
2,data/wamex_xml/a077427_appendix2_apex minerals geological legend_17491913.json,a077427_appendix2_apex minerals geological legend_17491913.json,77427
2,data/wamex_xml/a081040_berringarra annual report 2009_11747811.json,a081040_berringarra annual report 2009_11747811.json,81040
2,data/wamex_xml/a079073_c23_2001_a04_2008_9380075.json,a079073_c23_2001_a04_2008_9380075.json,79073
2,data/wamex_xml/a079502_p53_1301_2008a_12467493.json,a079502_p53_1301_2008a_12467493.json,79502
2,data/wamex_xml/a075312_yarra exploration index map_17808168.json,a075312_yarra exploration index map_17808168.json,75312
2,data/wamex_xml/a072610_daltons e45-2186 & 2187 annual tech rep to mar 06_14636203.json,a072610_daltons e45-2186 & 2187 annual tech rep to mar 06_14636203.json,72610
2,data/wamex_xml/a078078_bb_a_el702752_2008_11616028.json,a078078_bb_a_el702752_2008_11616028.json,78078
2,data/wamex_xml/a076641_cspr_200_16071816.json,a076641_cspr_200_16071816.json,76641
2,data/wamex_xml/a073389_mount_annual_report_2005_2006_part1_body_only_15008358.json,a073389_mount_annual_report_2005_2006_part1_body_only_15008358.json,73389
2,data/wamex_xml/a078069_dg_2008a_9485260.json,a078069_dg_2008a_9485260.json,78069
2,data/wamex_xml/a079848_ridley resources oscar range project annual technical report_17073649.json,a079848_ridley resources oscar range project annual technical report_17073649.json,79848
2,data/wamex_xml/a085349_m24_690_2009s_9605952.json,a085349_m24_690_2009s_9605952.json,85349
2,data/wamex_xml/a072009_ems833_2006s_17021086.json,a072009_ems833_2006s_17021086.json,72009
2,data/wamex_xml/a084558_e80_3371_hc2009a_11315862.json,a084558_e80_3371_hc2009a_11315862.json,84558
2,data/wamex_xml/a073749_c149_2005_2006a_14915540.json,a073749_c149_2005_2006a_14915540.json,73749
2,data/wamex_xml/a081515_p26_3496_2008a_15181929.json,a081515_p26_3496_2008a_15181929.json,81515
2,data/wamex_xml/a077396_va_c208_2006_2008a_16821367.json,a077396_va_c208_2006_2008a_16821367.json,77396
2,data/wamex_xml/a085293_p29_2049_atr_2009_12382405.json,a085293_p29_2049_atr_2009_12382405.json,85293
2,data/wamex_xml/a078581_psr_e47_1411_2008r_17572713.json,a078581_psr_e47_1411_2008r_17572713.json,78581
2,data/wamex_xml/a084524_c75-2009_ver_2009a_10089746.json,a084524_c75-2009_ver_2009a_10089746.json,84524
2,data/wamex_xml/a074952_wilthorpe 2006 to 2007 annual report_16810989.json,a074952_wilthorpe 2006 to 2007 annual report_16810989.json,74952
2,data/wamex_xml/a083082_e28_1787_2009a_10019121.json,a083082_e28_1787_2009a_10019121.json,83082
2,data/wamex_xml/a072617_a72617_9921639.json,a072617_a72617_9921639.json,72617
