filename,anumber,report_type,sentence_count,prop,length
a072072_yg1_2005a_16009642.json,72072,Annual,97,0.28865979381443296,28
a072073_yg2_2005a_14642609.json,72073,Annual,123,0.3170731707317073,39
a072075_tr1393_c308_1997_2005a_15518670.json,72075,Annual,45,0.26666666666666666,12
a072076_e28_1318_2005a_12116914.json,72076,Annual,131,0.4122137404580153,54
a072077_tr1394_c17_2000_2005a_14243205.json,72077,Annual,41,0.34146341463414637,14
a072080_alb_2006_s_9382589.json,72080,Final Surrender,72,0.20833333333333331,15
a072082_kvjv2005_a_16099972.json,72082,Annual,144,0.5138888888888887,74
a072086_c27_2004_2005a_10931853.json,72086,Annual,530,0.3773584905660377,200
a072088_bs_2005_annualreport_12672174.json,72088,Annual,77,0.4025974025974027,31
a072088_bs_2005_annualreport_verificationreport_12663444.json,72088,Annual,18,0.611111111111111,11
a072089_kun_ann_05_17468294.json,72089,Annual,944,0.44385593220338904,419
a072090_speewah combined annual report to 31dec05_17548772.json,72090,Annual,830,0.4060240963855424,337
a072096_e70_2582_annual_11099243.json,72096,Annual,100,0.7400000000000004,74
a072098_ar_sandstoneproject_2005_15333328.json,72098,Annual,125,0.27199999999999996,34
a072098_golders dust suppression report _15332833.json,72098,Annual,874,0.28947368421052583,253
a072100_c121-1993a05_310306_15153508.json,72100,Annual,249,0.751004016064257,187
a072100_c121-1993a05_appendix 1_15169335.json,72100,Annual,3050,0.06786885245901646,207
a072101_27608 kintyre v_15514831.json,72101,Annual,18,0.2777777777777778,5
a072101_c130_1996_2006a_15423002.json,72101,Annual,95,0.3052631578947368,29
a072103_g862-3 - e08-825 partial surr feb 2006 - 6340_16212307.json,72103,Partial Surrender,48,0.125,6
a072104_appendix i - petrology awd003_16669596.json,72104,Annual,97,0.34020618556701027,33
a072104_g940-13 ann feb 2006 - 6336_16705358.json,72104,Annual,194,0.38659793814432997,75
a072105_mt wall g942-5 2006 - 6337_17418311.json,72105,Annual,131,0.4274809160305343,56
a072106_c92_2005_a06_14037719.json,72106,Annual,102,0.4607843137254902,47
a072111_c611998_a2005_15408845.json,72111,Annual,110,0.43636363636363645,48
a072112_c53_1997_a2005_12544750.json,72112,Annual,131,0.5267175572519085,69
a072113_e31_565_2005a_16152329.json,72113,Annual,75,0.12,9
a072118_e31_566_2005a_16472941.json,72118,Annual,121,0.2644628099173554,32
a072119_c305_1992_2005a_15385495.json,72119,Annual,195,0.5487179487179487,107
a072120_p31_1618_a2004_15669440.json,72120,Annual,121,0.24793388429752067,30
a072121_e31_571_2005a_11679604.json,72121,Annual,96,0.23958333333333334,23
a072124_c294_1996_2005a_11599463.json,72124,Annual,135,0.33333333333333337,45
a072125_chichester c22_2003 annual 2006_17615315.json,72125,Annual,85,0.2588235294117647,22
a072127_yb_report_ann05_doir_17591248.json,72127,Annual,128,0.578125,74
a072140_greenbushes annual exploration report 2005_17562770.json,72140,Annual,50,0.36,18
a072145_c171-2001 annual report 2005_9543594.json,72145,Annual,260,0.5346153846153848,139
a072147_mulwarrie project combined atr 2006_16235561.json,72147,Annual,150,0.3733333333333333,56
a072148_mdx_e29-533_2006a_11795019.json,72148,Annual,48,0.375,18
a072151_e38_1043_2006a_9728201.json,72151,Annual,387,0.38501291989664105,149
a072152_0546-2006-01_9918464.json,72152,Annual,64,0.609375,39
a072158_c15_2006_2005a_15133097.json,72158,Annual,186,0.5430107526881718,101
a072159_p52_1073_1077_2005a_15562727.json,72159,Annual,115,0.4869565217391305,56
a072164_ba_2005a_15974724.json,72164,Annual,120,0.125,15
a072168_igo_newdegate_702671_2006s_17568268.json,72168,Final Surrender,33,0.3939393939393939,13
a072170_2005 norseman annual rpt_15198050.json,72170,Annual,324,0.524691358024691,170
a072170_pr_pkin06_agivaluation_jan2006 (final)_15198850.json,72170,Annual,292,0.5102739726027395,149
a072171_2005 everlasting annual rpt_12941703.json,72171,Annual,384,0.5625000000000004,216
a072171_pr_pkin06_agivaluation_jan2006 (final)_12942291.json,72171,Annual,292,0.5102739726027394,149
a072178_eureka annual report 2005-2006_14675181.json,72178,Annual,68,0.5147058823529412,35
a072179_northmonger_annualrep_2005_11926813.json,72179,Annual,98,0.530612244897959,52
a072180_e31_564_2005a_9936201.json,72180,Annual,113,0.19469026548672566,22
a072181_p31_1420_2005a_9977565.json,72181,Annual,102,0.3823529411764706,39
a072182_p31_1625_2005a_14137741.json,72182,Annual,92,0.2717391304347826,25
a072183_20060327_fnm 2005 annual report_250_15090236.json,72183,Annual,142,0.4507042253521124,64
a072183_drilllogs_15102933.json,72183,Annual,4137,0.07130771090161966,295
a072185_e28_1485_2006a_11557692.json,72185,Final Surrender,115,0.37391304347826093,43
a072188_e47_1136_2006a_15084587.json,72188,Annual,52,0.6538461538461539,34
a072190_e471127_annual_rpt_16198643.json,72190,Annual,76,0.2763157894736842,21
a072195_newmontjv e37_556 annualreport2006 (2)_doir_15191501.json,72195,Annual,171,0.30994152046783624,53
a072196_c316_1993_a05_final_15265415.json,72196,Annual,397,0.5138539042821162,204
a072198_bnjv_20-2005_2005a_16124724.json,72198,Annual,958,0.5365344467640897,514
a072199_e70_2561_2006a_12829625.json,72199,Annual,33,0.2727272727272727,9
a072200_annual report 2006_16998331.json,72200,Annual,94,0.5319148936170213,50
a072201_kmt_2006a_11310543.json,72201,Annual,34,0.5882352941176471,20
a072202_m57_245_2006a_15087741.json,72202,Annual,82,0.24390243902439027,20
a072210_yt06 ar_12374208.json,72210,Annual,19,0.5789473684210527,11
a072211_r109_2006_17334113.json,72211,Annual,331,0.5528700906344403,183
a072212_annual report 2006_doir_15799022.json,72212,Annual,106,0.6226415094339622,66
